teryt6,name,population,area_km2,lat,lng
080102,Bogdaniec,7104,111.723,52.694881,15.09028
080103,Deszczno,9942,168.316,52.674569,15.292024
080104,Kłodawa,8677,234.74,52.789349,15.252981
080105,Lubiszyn,6878,205.276,52.781225,15.020002
080106,Santok,8636,169.41,52.739449,15.377751
080107,Witnica,12869,278.666,52.675301,14.892907
080301,Bledzew,4344,247.495,52.502067,15.399395
080302,Międzyrzecz,24815,315.356,52.441624,15.577057
080303,Przytoczna,5627,184.821,52.576224,15.674224
080304,Pszczew,4269,177.627,52.483568,15.777495
080305,Skwierzyna,12103,284.826,52.595702,15.501217
080306,Trzciel,6407,177.519,52.353796,15.832145
080501,Cybinka,6469,279.618,52.188444,14.791524
080502,Górzyca,4299,145.433,52.496804,14.680734
080503,Ośno Lubuskie,6376,197.641,52.453941,14.884491
080504,Rzepin,9714,190.994,52.350715,14.823155
080505,Słubice,20071,185.571,52.348441,14.559958
080601,Dobiegniew,6536,351.265,52.973119,15.761807
080602,Drezdenko,17100,399.873,52.837401,15.829575
080603,Stare Kurowo,4062,77.561,52.85414,15.676666
080604,Strzelce Krajeńskie,16993,318.952,52.883517,15.529483
080605,Zwierzyn,4318,100.131,52.816554,15.55431
080701,Krzeszyce,4729,194.171,52.586032,15.02674
080702,Lubniewice,3158,129.634,52.502611,15.238059
080703,Słońsk,4733,158.654,52.56546,14.811509
080704,Sulęcin,15745,320.079,52.442871,15.120019
080705,Torzym,6828,375.303,52.310296,15.037428
086101,Gorzów Wielkopolski,123609,85.723,52.743968,15.236305
080201,Gubin,16614,20.689,51.957024,14.727587
080202,Bobrowice,3178,185.263,51.965445,15.060266
080203,Bytnica,2507,208.73,52.140126,15.149386
080204,Dąbie,4923,170.474,52.000665,15.194594
080205,Gubin,7138,379.584,51.94987,14.781436
080206,Krosno Odrzańskie,17670,211.505,52.05572,15.101116
080207,Maszewo,2799,213.931,52.088235,14.9196
080401,Nowa Sól,38645,21.816,51.803603,15.707059
080402,Bytom Odrzański,5426,52.37,51.730482,15.819299
080403,Kolsko,3311,80.726,51.946114,15.933359
080404,Kożuchów,15881,179.178,51.746126,15.594786
080405,Nowa Sól,6943,175.954,51.806944,15.755594
080406,Nowe Miasteczko,5358,76.881,51.688713,15.729663
080407,Otyń,7012,91.683,51.85006,15.704239
